district_name_en,district_name_ar,city_name_en,city_name_ar,province_name_en,province_name_ar
Al Bayan Dist.,حي البيان,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Ula Dist.,حي العلا,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Mashriq Dist.,حي المشرق,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Nakhbah Dist.,حي النخبة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Sahab Dist.,حي السحاب,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Wasam Dist.,حي الوسام,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Marqab Dist.,حي المرقب,Al Majma'ah,المجمعة,Riyadh,منطقة الرياض
Al Yarmuk Dist.,حي اليرموك,Al Majma'ah,المجمعة,Riyadh,منطقة الرياض
Al Fayha Dist.,حي الفيحاء,Al Majma'ah,المجمعة,Riyadh,منطقة الرياض
King Fahd Dist.,حي الملك فهد,Al Majma'ah,المجمعة,Riyadh,منطقة الرياض
King Salman Dist.,حي الملك سلمان,Al Majma'ah,المجمعة,Riyadh,منطقة الرياض
King Abdulaziz Dist.,حي الملك عبدالعزيز,Al Majma'ah,المجمعة,Riyadh,منطقة الرياض
Al Andalus Dist.,حي الاندلس,Al Majma'ah,المجمعة,Riyadh,منطقة الرياض
Al Matar Dist.,حي المطار,Al Majma'ah,المجمعة,Riyadh,منطقة الرياض
King Abdullah Dist.,حي الملك عبدالله,Al Majma'ah,المجمعة,Riyadh,منطقة الرياض
Industrial Area,المنطقة الصناعية,Al Majma'ah,المجمعة,Riyadh,منطقة الرياض
Al Jamiyin Dist.,حي الجامعيين,Al Majma'ah,المجمعة,Riyadh,منطقة الرياض
Al Muruj Dist.,حي المروج,Al Majma'ah,المجمعة,Riyadh,منطقة الرياض
Al Mustaqbal Dist.,حي المستقبل,Al Majma'ah,المجمعة,Riyadh,منطقة الرياض
Al Basirah Dist.,حي البصيرة,Harmah,حرمة,Riyadh,منطقة الرياض
Ar Rawdah Dist.,حي الروضة,Harmah,حرمة,Riyadh,منطقة الرياض
Ar Rafiah Dist.,حي الرفيعة,Harmah,حرمة,Riyadh,منطقة الرياض
Al Balad Al Qadimah Dist.,حي البلد القديمة,Jalajil,جلاجل,Riyadh,منطقة الرياض
King Fahd Dist.,حي الملك فهد,Jalajil,جلاجل,Riyadh,منطقة الرياض
Al Samriyah Dist.,حي السمرية,Jalajil,جلاجل,Riyadh,منطقة الرياض
Al Qari Dist.,حي القري,Jalajil,جلاجل,Riyadh,منطقة الرياض
Industrial Dist.,حي الصناعية,Jalajil,جلاجل,Riyadh,منطقة الرياض
King Faisal Dist.,حي الملك فيصل,Jalajil,جلاجل,Riyadh,منطقة الرياض
Al Marqab Dist.,حي المرقب,Jalajil,جلاجل,Riyadh,منطقة الرياض
